uns'	uns	DET	DET.1.Poss.Pl.Fem.Acc	1.0	dict/vocab.json
denk	denk	denken	VERB.2.Sg.Imp	1.0	dict/vocab.json
denkt	denkt	denken	VERB.3.Sg.Ind.Prs	1.0	dict/vocab.json
dacht	daxt	denken	VERB.3.Sg.Ind.Prt.wk.st	0.9798387096774194	dict/vocab.json
dacht'	daxt	denken	VERB.3.Sg.Ind.Prt.wk.st	0.9798387096774194	dict/vocab.json
dächt	dext	denken	VERB.3.Sg.Sbj.Prt.st	1.0	dict/vocab.json
denkt	denkt	denken	VERB.PPast.wk	0.5560538116591929	dict/vocab.json
dächt	dext	denken	VERB._.Pl.Sbj.Prt	0.6	dict/vocab.json
darf	darf	derven	AUX.1.Sg.Ind.Prs	1.0	dict/vocab.json
Dickkopp	dikop	dik+kop	NOUN.Masc.Acc	1.0	dict/vocab.json
Dickkopp	dikop	dik+kop	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Dickkopp	dikop	dik+kop	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
dickste	dikste	dik	ADJ.Spv.Fem.Nom.arch	1.0	dict/vocab.json
dicksten	diksten	dik	ADJ.Spv.Masc.Acc	1.0	dict/vocab.json
dickste	dikste	dik	ADJ.Spv.Masc.Nom.emph.arch	0.8	dict/vocab.json
dicksten	diksten	dik	ADJ.Spv.Pl.Acc.st	0.8333333333333334	dict/vocab.json
dicksten	diksten	dik	ADJ.Spv.Pl.Nom.st	0.8333333333333334	dict/vocab.json
Ding	ding	ding	NOUN.Neut.Acc	1.0	dict/vocab.json
Ding	ding	ding	NOUN.Neut.Dat	0.9495798319327731	dict/vocab.json
Ding	ding	ding	NOUN.Neut.Nom	0.9663865546218487	dict/vocab.json
Dinger	dinger	ding	NOUN.Pl_er.Acc	1.0	dict/vocab.json
Dinger	dinger	ding	NOUN.Pl_er.Nom	1.0	dict/vocab.json
Dings	dings	dings	NOUN.Neut.Acc	1.0	dict/vocab.json
Dings	dings	dings	NOUN.Neut.Dat	0.9495798319327731	dict/vocab.json
Dings	dings	dings	NOUN.Neut.Nom	0.9663865546218487	dict/vocab.json
Dokter	dokter	dokter	NOUN.Masc.Acc	1.0	dict/vocab.json
Dokter	dokter	dokter	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Dokters	dokters	dokter	NOUN.Masc.Gen.arch	1.0	dict/vocab.json
Dokter	dokter	dokter	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Dokters	dokters	dokter	NOUN.Pl_s.Acc	1.0	dict/vocab.json
Dokters	dokters	dokter	NOUN.Pl_s.Nom	1.0	dict/vocab.json
driester	drIster	drIst	ADJ.Cpv.Fem.Acc	1.0	dict/vocab.json
driester	drIster	drIst	ADJ.Cpv.Fem.Nom	1.0	dict/vocab.json
driester	drIster	drIst	ADJ.Cpv.Masc.Nom	1.0	dict/vocab.json
driester	drIster	drIst	ADJ.Cpv.Neut.Acc.wk	1.0	dict/vocab.json
driester	drIster	drIst	ADJ.Cpv.Neut.Nom.wk	1.0	dict/vocab.json
driester	drIster	drIst	ADJ.Cpv.Pl.Acc.wk	1.0	dict/vocab.json
driester	drIster	drIst	ADJ.Cpv.Pl.Nom.wk	1.0	dict/vocab.json
driest	drIst	drIst	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
driest	drIst	drIst	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
driest	drIst	drIst	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
driest	drIst	drIst	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
driest	drIst	drIst	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
driest	drIst	drIst	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
driest	drIst	drIst	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
driest	drIst	drIst	ADV	0.6965174129353234	dict/vocab.json
gedräbn	gedrÄven	drIven	VERB.PPast.wk	1.0	dict/vocab.json
Draf	draf	draf	NOUN.Masc.Acc	1.0	dict/vocab.json
Draf	draf	draf	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Draf	draf	draf	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
draller	draler	dral	ADJ.Cpv.Fem.Acc	1.0	dict/vocab.json
draller	draler	dral	ADJ.Cpv.Fem.Nom	1.0	dict/vocab.json
draller	draler	dral	ADJ.Cpv.Masc.Nom	1.0	dict/vocab.json
draller	draler	dral	ADJ.Cpv.Neut.Acc.wk	1.0	dict/vocab.json
draller	draler	dral	ADJ.Cpv.Neut.Nom.wk	1.0	dict/vocab.json
draller	draler	dral	ADJ.Cpv.Pl.Acc.wk	1.0	dict/vocab.json
draller	draler	dral	ADJ.Cpv.Pl.Nom.wk	1.0	dict/vocab.json
drall	dral	dral	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
drall	dral	dral	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
drallen	dralen	dral	ADJ.Pos.Masc.Acc	1.0	dict/vocab.json
drall	dral	dral	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
drallet	dralet	dral	ADJ.Pos.Neut.Acc.wk	1.0	dict/vocab.json
drallet	dralet	dral	ADJ.Pos.Neut.Nom.wk.reg.st	0.975	dict/vocab.json
drallen	dralen	dral	ADJ.Pos.Pl.Acc.wk	0.9615384615384616	dict/vocab.json
drallen	dralen	dral	ADJ.Pos.Pl.Nom.wk	0.9615384615384616	dict/vocab.json
drall	dral	dral	ADV	0.6965174129353234	dict/vocab.json
Drank	drank	drank	NOUN.Masc.Acc	1.0	dict/vocab.json
Drank	drank	drank	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Drank	drank	drank	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
drängt	drengt	drengen	VERB.1.Sg.Ind.Prt.wk	0.5560538116591929	dict/vocab.json
drängt	drengt	drengen	VERB.2.Pl.Imp	0.6636771300448431	dict/vocab.json
drängt	drengt	drengen	VERB.3.Sg.Ind.Prs	1.0	dict/vocab.json
drängt	drengt	drengen	VERB.3.Sg.Ind.Prt.wk	0.5515695067264574	dict/vocab.json
drängt	drengt	drengen	VERB.PPast.wk	0.5560538116591929	dict/vocab.json
drink	drink	drinken	VERB.1.Sg.Ind.Prs	1.0	dict/vocab.json
drunk	drunk	drinken	VERB.1.Sg.Ind.Prt.wk.st	0.9310344827586207	dict/vocab.json
drinkt	drinkt	drinken	VERB.2.Pl.Imp	1.0	dict/vocab.json
drink	drink	drinken	VERB.2.Sg.Imp	1.0	dict/vocab.json
drinkt	drinkt	drinken	VERB.3.Sg.Ind.Prs	0.961038961038961	dict/vocab.json
drunk	drunk	drinken	VERB.3.Sg.Ind.Prt.wk	1.0	dict/vocab.json
drinkt	drinkt	drinken	VERB.PPast.wk	0.7402597402597403	dict/vocab.json
drap	drap	dripen	VERB.1.Sg.Ind.Prt.wk.st	0.9310344827586207	dict/vocab.json
drap	drap	dripen	VERB.3.Sg.Ind.Prt.wk	1.0	dict/vocab.json
drög	drÖg	drÖg	ADJ.Pos.Neut.Sg.Nom.st	1.0	dict/vocab.json
drög	drÖg	drÖg	ADV	0.625	dict/vocab.json
droag	dråg	drågen	VERB.1.Sg.Ind.Prs	1.0	dict/vocab.json
drögt	drögt	drågen	VERB.1.Sg.Ind.Prt.wk	0.5560538116591929	dict/vocab.json
drögt	drögt	drågen	VERB.2.Pl.Imp	0.6636771300448431	dict/vocab.json
droag	dråg	drågen	VERB.2.Sg.Imp	0.8650793650793651	dict/vocab.json
drögt	drögt	drågen	VERB.3.Sg.Ind.Prs	1.0	dict/vocab.json
drögt	drögt	drågen	VERB.3.Sg.Ind.Prt.wk	0.5515695067264574	dict/vocab.json
droagen	drågen	drågen	VERB.Inf	1.0	dict/vocab.json
drögt	drögt	drågen	VERB.PPast.wk	0.5560538116591929	dict/vocab.json
droagen	drågen	drågen	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
drückte	drükte	drüken	VERB.1.Sg.Ind.Prt.wk.hd.wk	0.9310344827586207	dict/vocab.json
drückte	drükte	drüken	VERB.3.Sg.Ind.Prt.wk	1.0	dict/vocab.json
drückten	drÜkten	drüken	VERB._.Pl.Ind.Prt.wk	1.0	dict/vocab.json
dumm	dum	dum	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
dumm	dum	dum	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
dumm	dum	dum	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
dumm	dum	dum	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
dumm	dum	dum	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
dumm	dum	dum	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
dumm	dum	dum	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
dumm	dum	dum	ADV	0.6965174129353234	dict/vocab.json
Dunnerschlag	dunerSlåg	duner+Slåg	NOUN.Masc.Acc	1.0	dict/vocab.json
Dunnerschlag	dunerSlåg	duner+Slåg	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Dunnerschlag	dunerSlåg	duner+Slåg	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Dunner	duner	duner	NOUN.Masc.Acc	1.0	dict/vocab.json
Dunner	duner	duner	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Dunner	duner	duner	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Dutzen	dutsen	dutsen	NOUN.Neut.Acc.Sg	0.9526627218934911	dict/vocab.json
Dutzen	dutsen	dutsen	NOUN.Neut.Dat.Sg	0.9585798816568047	dict/vocab.json
Dutzen	dutsen	dutsen	NOUN.Neut.Nom.Sg	1.0	dict/vocab.json
däglich	dÄglix	dÄglix	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
däglich	dÄglix	dÄglix	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
däglich	dÄglix	dÄglix	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
däglich	dÄglix	dÄglix	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
däglich	dÄglix	dÄglix	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
däglich	dÄglix	dÄglix	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
däglich	dÄglix	dÄglix	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
däglich	dÄglix	dÄglix	ADV	0.6965174129353234	dict/vocab.json
döpen	dÖpen	dÖpen	VERB.Inf	1.0	dict/vocab.json
döpt	dÖpt	dÖpen	VERB.PPast.wk	1.0	dict/vocab.json
döpen	dÖpen	dÖpen	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
dütsch	dÜtS	dÜtS	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
dütsch	dÜtS	dÜtS	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
dütsch	dÜtS	dÜtS	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
dütsch	dÜtS	dÜtS	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
dütsch	dÜtS	dÜtS	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
dütsch	dÜtS	dÜtS	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
dütsch	dÜtS	dÜtS	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
dütsch	dÜtS	dÜtS	ADV	0.6965174129353234	dict/vocab.json
dütlich	dÜtlix	d*tlix	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
dütlich	dÜtlix	d*tlix	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
dütlich	dÜtlix	d*tlix	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
dütlich	dÜtlix	d*tlix	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
dütlich	dÜtlix	d*tlix	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
dütlich	dÜtlix	d*tlix	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
dütlich	dÜtlix	d*tlix	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
dütlich	dÜtlix	d*tlix	ADV	0.6965174129353234	dict/vocab.json
Düwel	dÜvel	dÜvel	NOUN.Masc.Acc	1.0	dict/vocab.json
Düwel	dÜvel	dÜvel	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Düwels	dÜvels	dÜvel	NOUN.Masc.Gen.arch	1.0	dict/vocab.json
Düwel	dÜvel	dÜvel	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Düwelstüg	dÜvelstÜg	dÜvels+tÜg	NOUN.Neut.Acc	1.0	dict/vocab.json
Düwelstüg	dÜvelstÜg	dÜvels+tÜg	NOUN.Neut.Dat	0.9495798319327731	dict/vocab.json
Düwelstüg	dÜvelstÜg	dÜvels+tÜg	NOUN.Neut.Nom	0.9663865546218487	dict/vocab.json
doamaliger	dåmaliger	dåmålix	ADJ.Fem.Gen.Ind.Pos.Sg	1.0	dict/vocab.json
drinnen	drinen	dårin	ADV	1.0	dict/vocab.json
dücht	düxt	dünken?	VERB.1.Sg.Ind.Prt.wk.st	0.9310344827586207	dict/vocab.json
dücht	düxt	dünken?	VERB.3.Sg.Ind.Prt.wk	1.0	dict/vocab.json
düchtig	düxtig	düxtig	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
düchtig	düxtig	düxtig	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
düchtig	düxtig	düxtig	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
düchtig	düxtig	düxtig	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
düchtig	düxtig	düxtig	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
düchtig	düxtig	düxtig	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
düchtig	düxtig	düxtig	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
düchtig	düxtig	düxtig	ADV	0.6965174129353234	dict/vocab.json
Eddelmann	edelman	edel+man	NOUN.Masc.Acc	1.0	dict/vocab.json
Eddelmann	edelman	edel+man	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Eddelmann	edelman	edel+man	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Ey	ei	ei	NOUN.Neut.Acc	1.0	dict/vocab.json
Ey	ei	ei	NOUN.Neut.Dat	0.9495798319327731	dict/vocab.json
Ey	ei	ei	NOUN.Neut.Nom	0.9663865546218487	dict/vocab.json
Eyer	eier	ei	NOUN.Pl_er.Acc	1.0	dict/vocab.json
Eyer	eier	ei	NOUN.Pl_er.Nom	1.0	dict/vocab.json
Eikboom	eikbOm	eikbOm	NOUN.Masc.Acc	1.0	dict/vocab.json
Eikboom	eikbOm	eikbOm	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Eikboom	eikbOm	eikbOm	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Eck	ek	ek	NOUN.Fem.Acc	1.0	dict/vocab.json
Eck	ek	ek	NOUN.Fem.Dat	0.9361702127659575	dict/vocab.json
Eck	ek	ek	NOUN.Fem.Nom	0.9574468085106383	dict/vocab.json
Ecken	eken	ek	NOUN.Pl_en.Acc	1.0	dict/vocab.json
Ecken	eken	ek	NOUN.Pl_en.Dat	1.0	dict/vocab.json
Ecken	eken	ek	NOUN.Pl_en.Nom	0.9444444444444444	dict/vocab.json
eckt	ekt	eken	VERB.1.Sg.Ind.Prt.wk	1.0	dict/vocab.json
eckt	ekt	eken	VERB.3.Sg.Ind.Prs.wk	0.5	dict/vocab.json
eckt	ekt	eken	VERB.3.Sg.Ind.Prt.wk.wk	0.9798387096774194	dict/vocab.json
Ekschempel	ekSempel	eksempel	NOUN.Neut.Acc	1.0	dict/vocab.json
Exempel	eksempel	eksempel	NOUN.Neut.Acc	1.0	dict/vocab.json
Ekschempel	ekSempel	eksempel	NOUN.Neut.Dat	0.9495798319327731	dict/vocab.json
Exempel	eksempel	eksempel	NOUN.Neut.Dat	0.9495798319327731	dict/vocab.json
Ekschempel	ekSempel	eksempel	NOUN.Neut.Nom	0.9663865546218487	dict/vocab.json
Exempel	eksempel	eksempel	NOUN.Neut.Nom	0.9663865546218487	dict/vocab.json
Exempels	eksempels	eksempel	NOUN.Neut.Pl_s	1.0	dict/vocab.json
Exempels	eksempels	eksempel	NOUN.Neut.Pl_s.Acc	1.0	dict/vocab.json
Exempels	eksempels	eksempel	NOUN.Neut.Pl_s.Dat	0.75	dict/vocab.json
Element	element	element	NOUN.Neut.Acc	1.0	dict/vocab.json
Element	element	element	NOUN.Neut.Dat	0.9495798319327731	dict/vocab.json
Element	element	element	NOUN.Neut.Nom	0.9663865546218487	dict/vocab.json
elf	Elf	elf	NUM.Acc	1.0	dict/vocab.json
Elsen	elsen	els?	NOUN.Pl_en.Acc	1.0	dict/vocab.json
Elsen	elsen	els?	NOUN.Pl_en.Dat	1.0	dict/vocab.json
Elsen	elsen	els?	NOUN.Pl_en.Nom	0.9444444444444444	dict/vocab.json
ännern	enern	enern	VERB.Inf	1.0	dict/vocab.json
ännern	enern	enern	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
Engel	engel	engel	NOUN.Masc.Dat	0.6266666666666667	dict/vocab.json
Engel	engel	engel	NOUN.Masc.Nom	0.6133333333333333	dict/vocab.json
Engel	engel	engel	NOUN.Masc.Pl.Acc	1.0	dict/vocab.json
Engel	engel	engel	NOUN.Masc.Pl.Nom	1.0	dict/vocab.json
England	England	england	PROPN.Neut.Acc	1.0	dict/vocab.json
England	England	england	PROPN.Neut.Dat	0.5	dict/vocab.json
England	England	england	PROPN.Neut.Nom	0.5	dict/vocab.json
entdeckt	entdekt	ent-deken	VERB.PPast.wk	1.0	dict/vocab.json
entgeit	entgeit	ent-gån	VERB.1.Sg.Ind.Prt.wk	0.5560538116591929	dict/vocab.json
entgeit	entgeit	ent-gån	VERB.2.Pl.Imp	0.6636771300448431	dict/vocab.json
entgeit	entgeit	ent-gån	VERB.3.Sg.Ind.Prs	1.0	dict/vocab.json
entgeit	entgeit	ent-gån	VERB.3.Sg.Ind.Prt.wk	0.5515695067264574	dict/vocab.json
entgeit	entgeit	ent-gån	VERB.PPast.wk	0.5560538116591929	dict/vocab.json
erfüllt	erfült	er-fülen	VERB.PPast.wk	1.0	dict/vocab.json
erwischt	erwiSt	er-wiSen	VERB.PPast.wk	1.0	dict/vocab.json
Erbarmen	erbarmen	erbarmen	NOUN.Neut.Acc	1.0	dict/vocab.json
Erbarmen	erbarmen	erbarmen	NOUN.Neut.Dat	0.9495798319327731	dict/vocab.json
Erbarmen	erbarmen	erbarmen	NOUN.Neut.Nom	0.9663865546218487	dict/vocab.json
erbärmlich	erbermlix	erbärmlix	ADV	1.0	dict/vocab.json
Erker	erker	erker	NOUN.Masc.Acc.Sg.hd	0.9486301369863014	dict/vocab.json
Erker	erker	erker	NOUN.Masc.Dat.Sg.hd	0.9486301369863014	dict/vocab.json
Erker	erker	erker	NOUN.Masc.Nom.Sg	1.0	dict/vocab.json
Erkner	erkner	erkner	NOUN.Masc.Acc.Sg	0.9486301369863014	dict/vocab.json
Erkner	erkner	erkner	NOUN.Masc.Dat.Sg	0.9486301369863014	dict/vocab.json
Erkner	erkner	erkner	NOUN.Masc.Nom.Sg	1.0	dict/vocab.json
fegen	fEgen	fEgen	VERB.Inf	1.0	dict/vocab.json
fegen	fEgen	fEgen	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
fehlt	fElt	fElen	VERB.1.Sg.Ind.Prt.wk	0.5560538116591929	dict/vocab.json
fehlt	fElt	fElen	VERB.2.Pl.Imp	0.6636771300448431	dict/vocab.json
fehlt	fElt	fElen	VERB.3.Sg.Ind.Prs	1.0	dict/vocab.json
fehlt	fElt	fElen	VERB.3.Sg.Ind.Prt.wk	0.5515695067264574	dict/vocab.json
fehlt	fElt	fElen	VERB.PPast.wk	0.5560538116591929	dict/vocab.json
fehlten	fElten	fElen	VERB._.Pl.Ind.Prt.wk	1.0	dict/vocab.json
Vigelien	fIgelIn	fIgelIn	NOUN.Fem.Acc	1.0	dict/vocab.json
Vigelyn	fIgelIn	fIgelIn	NOUN.Fem.Acc	1.0	dict/vocab.json
Vigelien	fIgelIn	fIgelIn	NOUN.Fem.Dat	0.9361702127659575	dict/vocab.json
Vigelyn	fIgelIn	fIgelIn	NOUN.Fem.Dat	0.9361702127659575	dict/vocab.json
Vigelien	fIgelIn	fIgelIn	NOUN.Fem.Nom	0.9574468085106383	dict/vocab.json
Vigelyn	fIgelIn	fIgelIn	NOUN.Fem.Nom	0.9574468085106383	dict/vocab.json
Fiend	fInd	fInd	NOUN.Masc.Acc	1.0	dict/vocab.json
Fiend	fInd	fInd	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Fiend	fInd	fInd	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
fiendlich	fIndlix	fIndlix	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
fiendlich	fIndlix	fIndlix	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
fiendlich	fIndlix	fIndlix	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
fiendlich	fIndlix	fIndlix	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
fiendlich	fIndlix	fIndlix	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
fiendlich	fIndlix	fIndlix	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
fiendlich	fIndlix	fIndlix	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
fiendlich	fIndlix	fIndlix	ADV	0.6965174129353234	dict/vocab.json
Foot	fOt	fOt	NOUN.Masc.Acc	1.0	dict/vocab.json
Foot	fOt	fOt	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Foot	fOt	fOt	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Föt	fÖt	fOt	NOUN.Pl_uml.Acc	1.0	dict/vocab.json
Fööt	fÖt	fOt	NOUN.Pl_uml.Acc	1.0	dict/vocab.json
Föten	fÖten	fOt	NOUN.Pl_uml.Dat	1.0	dict/vocab.json
Föt	fÖt	fOt	NOUN.Pl_uml.Nom	1.0	dict/vocab.json
Fööt	fÖt	fOt	NOUN.Pl_uml.Nom	1.0	dict/vocab.json
fustendick	fUstendik	fUsten+dik	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
fustendick	fUstendik	fUsten+dik	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
fustendick	fUstendik	fUsten+dik	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
fustendick	fUstendik	fUsten+dik	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
fustendick	fUstendik	fUsten+dik	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
fustendick	fUstendik	fUsten+dik	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
fustendick	fUstendik	fUsten+dik	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
fustendick	fUstendik	fUsten+dik	ADV	0.6965174129353234	dict/vocab.json
Fasch	faS	faS	INTJ	1.0	dict/vocab.json
Vaddern	fadern	fader	NOUN.Masc.Acc	0.8436018957345972	dict/vocab.json
Vaddern	fadern	fader	NOUN.Masc.Dat	1.0	dict/vocab.json
Vadder	fader	fader	NOUN.Masc.Nom	1.0	dict/vocab.json
Faxen	faksen	faksen	NOUN.Pl.Acc	1.0	dict/vocab.json
Faxen	faksen	faksen	NOUN.Pl.Dat	0.7619047619047619	dict/vocab.json
Faxen	faksen	faksen	NOUN.Pl.Nom	0.9047619047619048	dict/vocab.json
Fall'	fal	fal	NOUN.Fem.Acc.Sg	1.0	dict/vocab.json
Fall'	fal	fal	NOUN.Fem.Dat.Sg	0.9709302325581395	dict/vocab.json
Fall'	fal	fal	NOUN.Fem.Nom.Sg	0.9709302325581395	dict/vocab.json
Fall	fal	fal	NOUN.Masc.Acc	1.0	dict/vocab.json
Fall	fal	fal	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Fall	fal	fal	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
falschen	falSen	falS	ADJ.Dat.Ind.Masc.Pos.Sg	1.0	dict/vocab.json
Falk	falk	falk	NOUN.Masc.Acc	1.0	dict/vocab.json
Falk	falk	falk	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Falk	falk	falk	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Fang	fang	fang	NOUN.Masc.Acc	1.0	dict/vocab.json
Fang	fang	fang	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Fang	fang	fang	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
fast	fast	fast	ADV	1.0	dict/vocab.json
Fatt	fat	fat	NOUN.Neut.Acc	1.0	dict/vocab.json
Fatt	fat	fat	NOUN.Neut.Dat	0.9495798319327731	dict/vocab.json
Fatt	fat	fat	NOUN.Neut.Nom	0.9663865546218487	dict/vocab.json
Feder	feder	feder?	NOUN.Fem.Acc	1.0	dict/vocab.json
Feder	feder	feder?	NOUN.Fem.Dat	0.9361702127659575	dict/vocab.json
Feder	feder	feder?	NOUN.Fem.Nom	0.9574468085106383	dict/vocab.json
Fellscheer	felSEr	fel+SEr	NOUN.Masc.Acc.Sg	0.9486301369863014	dict/vocab.json
Fellscheer	felSEr	fel+SEr	NOUN.Masc.Dat.Sg	0.9486301369863014	dict/vocab.json
Fellscheer	felSEr	fel+SEr	NOUN.Masc.Nom.Sg	1.0	dict/vocab.json
Feld	feld	feld	NOUN.Neut.Acc	1.0	dict/vocab.json
Feld	feld	feld	NOUN.Neut.Dat	0.9495798319327731	dict/vocab.json
Feld	feld	feld	NOUN.Neut.Nom	0.9663865546218487	dict/vocab.json
veracht	feraxt	fer-axten	VERB.PPast.wk	1.0	dict/vocab.json
verdeenen	ferdEnen	fer-dEnen	VERB.Inf	1.0	dict/vocab.json
verdeenen	ferdEnen	fer-dEnen	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
verdank	fErdank	fer-danken	VERB.1.Sg.Ind.Prs	1.0	dict/vocab.json
verdank	fErdank	fer-danken	VERB.2.Sg.Imp	0.8650793650793651	dict/vocab.json
verdöwt	ferdÖvt	fer-dÖven	VERB.PPast.wk	1.0	dict/vocab.json
vergnurrt	fergnurt	fer-gnuren	VERB.PPast.wk	1.0	dict/vocab.json
verkielt	ferkIlt	fer-kIlen	VERB.PPast.wk	1.0	dict/vocab.json
verquient	ferkwInt	fer-kwInen	VERB.1.Sg.Ind.Prt.wk	0.5560538116591929	dict/vocab.json
verquient	ferkwInt	fer-kwInen	VERB.2.Pl.Imp	0.6636771300448431	dict/vocab.json
verquient	ferkwInt	fer-kwInen	VERB.3.Sg.Ind.Prs	1.0	dict/vocab.json
verquient	ferkwInt	fer-kwInen	VERB.3.Sg.Ind.Prt.wk	0.5515695067264574	dict/vocab.json
verquient	ferkwInt	fer-kwInen	VERB.PPast.wk	0.5560538116591929	dict/vocab.json
