uns'	uns	DET	DET.1.Poss.Pl.Fem.Acc	1.0	dict/vocab.json
unse	unse	DET	DET.1.Poss.Pl.Fem.Nom.arch	1.0	dict/vocab.json
unsen	unsen	DET	DET.1.Poss.Pl.Masc.Acc	1.0	dict/vocab.json
myn	mIn	DET	DET.1.Poss.Sg.Fem.Acc	1.0	dict/vocab.json
dyn	dIn	DET	DET.2.Poss.Pl.Pl.Acc	1.0	dict/vocab.json
dyn	dIn	DET	DET.2.Poss.Pl.Pl.Nom	1.0	dict/vocab.json
dyn	dIn	DET	DET.2.Poss.Sg.Fem.Acc	1.0	dict/vocab.json
dyn	dIn	DET	DET.2.Poss.Sg.Fem.Nom	1.0	dict/vocab.json
dyn	dIn	DET	DET.2.Poss.Sg.Masc.Acc	1.0	dict/vocab.json
dyn	dIn	DET	DET.2.Poss.Sg.Masc.Nom	1.0	dict/vocab.json
dyn	dIn	DET	DET.2.Poss.Sg.Neut.Nom	1.0	dict/vocab.json
sien	sIn	DET	DET.3.Acc.Fem.Masc.Poss.Sg	1.0	dict/vocab.json
sin	sIn	DET	DET.3.Acc.Fem.Masc.Poss.Sg	1.0	dict/vocab.json
de	dE	DET	DET.Def.Acc.Pl	1.0	dict/vocab.json
de	dE	DET	DET.Def.Acc.Sg.Fem	1.0	dict/vocab.json
dät	det	DET	DET.Def.Acc.Sg.Neut.mk	1.0	dict/vocab.json
dätt	det	DET	DET.Def.Acc.Sg.Neut.mk	1.0	dict/vocab.json
de	dE	DET	DET.Def.Nom.Pl	1.0	dict/vocab.json
de	dE	DET	DET.Def.Nom.Sg.Fem	1.0	dict/vocab.json
de	dE	DET	DET.Def.Nom.Sg.Masc	1.0	dict/vocab.json
dät	det	DET	DET.Def.Nom.Sg.Neut.mk	1.0	dict/vocab.json
dätt	det	DET	DET.Def.Nom.Sg.Neut.mk	1.0	dict/vocab.json
n	n	DET	DET.Ind.Acc.Sg.Fem	1.0	dict/vocab.json
en	En	DET	DET.Ind.Acc.Sg.Neut	1.0	dict/vocab.json
en'	En	DET	DET.Ind.Acc.Sg.Neut	1.0	dict/vocab.json
en	En	DET	DET.Ind.Nom.Sg.Fem	1.0	dict/vocab.json
en'	En	DET	DET.Ind.Nom.Sg.Fem	1.0	dict/vocab.json
en	En	DET	DET.Ind.Nom.Sg.Masc	1.0	dict/vocab.json
en'	En	DET	DET.Ind.Nom.Sg.Masc	1.0	dict/vocab.json
en	En	DET	DET.Ind.Nom.Sg.Neut	1.0	dict/vocab.json
en'	En	DET	DET.Ind.Nom.Sg.Neut	1.0	dict/vocab.json
Eh'	E	E	INTJ	1.0	dict/vocab.json
Enigkeit	Enigkeit	Enigkeit	NOUN.Fem.Acc	1.0	dict/vocab.json
Enigkeit	Enigkeit	Enigkeit	NOUN.Fem.Dat	0.9361702127659575	dict/vocab.json
Enigkeit	Enigkeit	Enigkeit	NOUN.Fem.Nom	0.9574468085106383	dict/vocab.json
eniglich	Eniglix	Eniglix	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
eniglich	Eniglix	Eniglix	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
