!	!	!	PUNCT	preanno
7	7	7	NUM	preanno
77	77	77	NUM	preanno
78	78	78	NUM	preanno
79	79	79	NUM	preanno
80	80	80	NUM	preanno
81	81	81	NUM	preanno
84	84	84	NUM	preanno
85	85	85	NUM	preanno
86	86	86	NUM	preanno
87	87	87	NUM	preanno
8	8	8	NUM	preanno
88	88	88	NUM	preanno
89	89	89	NUM	preanno
90	90	90	NUM	preanno
91	91	91	NUM	preanno
92	92	92	NUM	preanno
93	93	93	NUM	preanno
94	94	94	NUM	preanno
95	95	95	NUM	preanno
96	96	96	NUM	preanno
97	97	97	NUM	preanno
98	98	98	NUM	preanno
9	9	9	NUM	preanno
abfluut	ab'slUt	abslUt	ADV.ocr
absluut	ab'slUt	abslUt	ADV	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Ach	ax	ax	INTJ	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Acht	axt	axt	NOUN.Fem.Acc.Sg.arch
achter	ax'ter	axter	ADP
Adjes	ad'jEs	adjEs	INTJ
af	af	af	ADP
af	af	af	PART
afbrennt	af'brent	af+brenen	VERB.PPast.wk
afdohn	af'dOn	af+dOn/AUX	VERB.Inf
affeng'n	af'fen'gen	af-fängen	VERB.Inf
affied	af'sId	af/ADP+sId/NOUN.Fem	ADV.ocr
afgeben	af'gÄ'ben	af+gÄven	VERB.Inf
afgeboakt	af'ge'båkt	af+båken?	VERB.PPast.wk.hd
afgebrennt	af'ge'brent	af+brenen	VERB.PPast.wk.hd
afgedröscht	af'ge'dröSt	af+dröSen	VERB.PPast.wk.hd
Afgemuckst	af'ge'mukst	af+muksen	VERB.PPast.wk.hd
afgeschunn'n	af'ge'Sun'	af+Sinen	VERB.PPast.st.hd
afgesehn	af'ge'sEn	af+sEen	VERB.PPast.st.hd
Afgesett't	af'ge'set't	af+seten	VERB.PPast.wk	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
afkehrt	af'kErt	af+kEren	VERB.PPast.wk	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
aflöppt	af'löpt	af+lOpen	VERB.PPast.wk
afnoam	af'nåm	af+nÄmen	VERB.PPast.st
afschmieten	af'SmI'ten	af+SmIten	VERB.Inf	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
afschmieten	af'SmI'ten	af+SmIten	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
afschnieden	af'SnI'den	af+SnIden	VERB.Inf	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
afschnieden	af'SnI'den	af+SnIden	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
afschrecken	af'Srek'en	af+Srek/NOUN.Masc-en	VERB.Inf
afsehn	af'sEn	af+sEen	VERB.Inf
afseng'n	af'sen'gen	af+segen	VERB.Inf
afstrieden	af'strI'den	af+strIden	VERB.Inf	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
afstrieden	af'strI'den	af+strIden	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
aftofoat'n	af'tO'få'ten	af+fåten	VERB.Inf_to
aftoköhlen	af'to'kÖ'len	af+kÖlen	VERB.Inf_to
aftroll'n	af'tro'len	af+trolen	VERB.Inf
afwoahren	af'wå'ren	af+wåren	VERB.Inf	"abwarten"? (sonst _tÖven_)
afwoahr'n	af'wå'ren	af-wåren	VERB.Inf
Aha	a'ha	aha	INTJ
Albrecht	al'brext	albrext	PROPN.Masc.Nom.Sg
All	al	al	DET.Tot.Pl.Nom
All	al	al	DET.Tot.Neut?.Acc.Sg
All	al	al	DET.Tot.Fem.Acc.Sg
All	al	al	PRON.Tot.Pl.Acc
All	al	al	ADV
All'	al	al	ADV
All'	al	al	PRON.Tot.Nom.Pl
All'	al	al	PRON.Tot.Acc.Pl
allbott	al'bot	al+bot	ADV
Alle	a'le	al	DET.Tot.Masc.Acc.Sg
Alle	a'le	al	DET.Tot.Pl.Acc
Alle	a'le	al	DET.Tot.Pl.Dat
Alle	a'le	al	DET.Tot.Pl.Nom
Alle	a'le	al	DET.Tot.Fem.Acc.Sg
Alle	a'le	al	PRON.Tot.Pl.Dat
Alle	a'le	al	PRON.Tot.Pl.Nom
Alle	a'le	al	PRON.Tot.Pl.Acc
allehope	a'le'hO'pe	al+hOp/NOUN.Fem.Dat.Sg.arch	ADV.arch
Allen	a'len	al	PRON.Tot.Dat.Pl
Allen	a'len	al	PRON.Tot.Masc.Dat.Sg
Allen	a'len	al	DET.Tot.Masc.Acc.Sg
Allen	a'len	al	DET.Tot.Pl.Dat
Allen	a'len	al	DET.Tot.Masc.Dat.Sg
Aller	al'ler	al	DET.Gen.Masc.Sg.Tot	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Aller	al'ler	al	PRON.Gen.Pl.Tot	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Allerbest	al'ler'best	aler+best	ADJ.Pos.Fem.Acc	0.744	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Allerbest	al'ler'best	aler+best	ADJ.Pos.Fem.Nom	0.9	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Allerbest	al'ler'best	aler+best	ADJ.Pos.Masc.Nom	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Allerbest	al'ler'best	aler+best	ADJ.Pos.Neut.Acc.wk	0.736	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Allerbest	al'ler'best	aler+best	ADJ.Pos.Neut.Nom.wk	0.736	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Allerbest	al'ler'best	aler+best	ADJ.Pos.Pl.Acc.wk	0.736	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Allerbest	al'ler'best	aler+best	ADJ.Pos.Pl.Nom.wk	0.748	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Allerbest	al'ler'best	aler+best	ADV	0.512	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
allerwärts	a'ler'werts	aler+wärts	ADV
allet	a'let	al	DET.Tot.Neut.Acc.Sg
allmälig	al'mÄ'lig	al+mÄlig	ADV
All'n	a'len	al	PRON.Tot.Dat.Pl
All'n	al'n	al	ADV DET.Ind.Masc.Nom.Sg.clit
All's	als	al	PRON.Tot.Neut.Nom.Sg
All's	als	al	PRON.Tot.Neut.Acc.Sg
All's	als	al	PRON.Tot.Neut.Dat.Sg
Alls	als	al	PRON.Tot.Acc.Sg.Neut	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Als	als	als	SCONJ.hd
Als	als	als	ADP.hd
also	al'sO	al+sO	ADV	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
àm	em	hE	PRON.3.Sg.Masc.Dat.ocr
åm	em	hE	PRON.3.Sg.Masc.Dat.ocr
åm	em	hE	PRON.3.Sg.Masc.Acc.ocr
Am	em	hE	PRON.3.Sg.Masc.Dat.ocr
Am	em	hE	PRON.3.Sg.Masc.Acc.ocr
äm	em	PRON.3.Acc.Sg.Masc	PRON.3.Acc.Sg.Masc
äm	em	PRON.3.Dat.Sg.Masc	PRON.3.Dat.Sg.Masc
Amerika	a'mE'rI'ka	amErika	PROPN.Neut.Acc	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Amerika	a'mE'rI'ka	amErika	PROPN.Neut.Dat	0.5	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Amerika	a'mE'rI'ka	amErika	PROPN.Neut.Nom	0.5	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
äm't	em't	hE	PRON.3.Sg.Masc.Dat DET.Def.Neut.Nom.Sg.clit
äm't	em't	hE	PRON.3.Sg.Masc.Dat DET.Def.Neut.Acc.Sg.clit
An	an	an	ADP
An	an	an	PART
androagen	an'drå'gen	an+drågen	VERB.PPast.st
anfangen	an'fan'gen	an+fängen	VERB.PPast.wk	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
anfang'n	an'fan'gen	an+fängen	VERB.Inf
anfang'n	an'fan'gen	an+fängen	VERB._.Pl.Ind.Prs
anfoaten	an'få'ten	an+fåten	VERB.Inf	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
anfoaten	an'få'ten	an+fåten	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
anfoat'n	an'få'ten	an+fåten	VERB.Inf
anföhren	an'fÖ'ren	an+fÖren	VERB.Inf
anföhrt	an'fÖrt	an+fÖren	VERB.PPast.wk
angebörstet	an'ge'börs'tet	an+börsten	VERB.PPast.wk.hd
angeflitzt	an'ge'flitst	an+flitsen	VERB.PPast.wk.hd
angeföhrt	an'ge'fÖrt	an+fÖren	VERB.PPast.wk.hd
angeföhrt	an'ge'fœrt?	an+fœren	VERB.PPast.wk.hd
angehör'n	an'ge'hÖ'ren	an+ge-hÖren	VERB.Inf.hd
angeleggt	an'ge'legt	an+legen	VERB.PPast.wk.hd
angenoam	an'ge'nåm'	an+nÄmen	VERB.PPast.st.hd
angeprellt	an'ge'prelt	an+prelen	VERB.PPast.wk.hd
angeprescht	an'ge'preSt	an+preSen	VERB.PPast.wk.hd
