scharpe	Sarpe	Sarp	ADJ.Pos.Fem.Nom	1.0	dict/vocab.json
scharpe	Sarpe	Sarp	ADJ.Pos.Masc.Nom.arch	0.9868421052631579	dict/vocab.json
scharp	Sarp	Sarp	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
scharp	Sarp	Sarp	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
scharp	Sarp	Sarp	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
scharp	Sarp	Sarp	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
scharp	Sarp	Sarp	ADV	0.6965174129353234	dict/vocab.json
schau	Sau	Sauen	VERB.1.Sg.Ind.Prs.hd	0.8134328358208955	dict/vocab.json
schau	Sau	Sauen	VERB.2.Sg.Imp	1.0	dict/vocab.json
Schelm	Selm	Selm	NOUN.Masc.Acc	1.0	dict/vocab.json
Schelm	Selm	Selm	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Schelm	Selm	Selm	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
schenk	SEnk	Senken	VERB.1.Sg.Ind.Prs	1.0	dict/vocab.json
schenk	SEnk	Senken	VERB.2.Sg.Imp	0.8650793650793651	dict/vocab.json
schimmlich	Simlix	Simlix	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
schimmlich	Simlix	Simlix	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
schimmlich	Simlix	Simlix	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
schimmlich	Simlix	Simlix	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
schimmlich	Simlix	Simlix	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
schimmlich	Simlix	Simlix	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
schimmlich	Simlix	Simlix	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
schimmlich	Simlix	Simlix	ADV	0.6965174129353234	dict/vocab.json
schleeck	SlEk	SlIken	VERB.1.Sg.Ind.Prt.wk	1.0	dict/vocab.json
schleeck	SlEk	SlIken	VERB.3.Sg.Ind.Prs.st	0.5	dict/vocab.json
schleeck	SlEk	SlIken	VERB.3.Sg.Ind.Prt.wk.st	0.9798387096774194	dict/vocab.json
schlapp	Slap	Slap	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
schlapp	Slap	Slap	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
schlapp	Slap	Slap	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
schlapp	Slap	Slap	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
schlapp	Slap	Slap	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
schlapp	Slap	Slap	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
schlapp	Slap	Slap	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
schlapp	Slap	Slap	ADV	0.6965174129353234	dict/vocab.json
schlimm	Slim	Slim	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
schlimm	Slim	Slim	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
schlimm	Slim	Slim	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
schlimm	Slim	Slim	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
schlimm	Slim	Slim	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
schlimm	Slim	Slim	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
schlimm	Slim	Slim	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
schlimm	Slim	Slim	ADV	0.6965174129353234	dict/vocab.json
schlott	Slot	Slot	ADV	1.0	dict/vocab.json
Schlukker	Sluker	Sluker	NOUN.Masc.Acc	1.0	dict/vocab.json
Schlukker	Sluker	Sluker	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Schlukker	Sluker	Sluker	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Schlump	Slump	Slump	NOUN.Masc.Acc	1.0	dict/vocab.json
Schlump	Slump	Slump	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Schlump	Slump	Slump	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Schlunk	Slunk	Slunk	NOUN.Masc.Acc	1.0	dict/vocab.json
Schlunk	Slunk	Slunk	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Schlunk	Slunk	Slunk	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Schlag	Slåg	Slåg	NOUN.Masc.Acc	1.0	dict/vocab.json
Schlag	Slåg	Slåg	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Schlag	Slåg	Slåg	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
schloag	Slåg	Slågen	VERB.1.Sg.Ind.Prs	1.0	dict/vocab.json
schlog	SlOg	Slågen	VERB.1.Sg.Ind.Prt.wk	1.0	dict/vocab.json
schloog	SlOg	Slågen	VERB.1.Sg.Ind.Prt.wk	1.0	dict/vocab.json
schloag	Slåg	Slågen	VERB.2.Sg.Imp	0.8650793650793651	dict/vocab.json
schlog	SlOg	Slågen	VERB.3.Sg.Ind.Prs.st	0.5	dict/vocab.json
schloog	SlOg	Slågen	VERB.3.Sg.Ind.Prs.st	0.5	dict/vocab.json
schlog	SlOg	Slågen	VERB.3.Sg.Ind.Prt.wk.st	0.9798387096774194	dict/vocab.json
schloog	SlOg	Slågen	VERB.3.Sg.Ind.Prt.wk.st	0.9798387096774194	dict/vocab.json
schloagen	Slågen	Slågen	VERB.Inf	1.0	dict/vocab.json
schloagen	Slågen	Slågen	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
schmitt	Smit	SmIten	VERB.1.Sg.Ind.Prt.wk	0.5560538116591929	dict/vocab.json
schmitt	Smit	SmIten	VERB.2.Pl.Imp	0.6636771300448431	dict/vocab.json
schmitt	Smit	SmIten	VERB.3.Sg.Ind.Prs	1.0	dict/vocab.json
schmitt	Smit	SmIten	VERB.3.Sg.Ind.Prt.wk	0.5515695067264574	dict/vocab.json
schmitt	Smit	SmIten	VERB.PPast.wk	0.5560538116591929	dict/vocab.json
