schütt	Süt	SEten	VERB.PPast.wk	0.5560538116591929	dict/vocab.json
scheeten	SEten	SEten	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
schient	SInt	SInen	VERB.1.Sg.Ind.Prt.wk	1.0	dict/vocab.json
schient	SInt	SInen	VERB.3.Sg.Ind.Prs.wk	0.5	dict/vocab.json
schient	SInt	SInen	VERB.3.Sg.Ind.Prt.wk.wk	0.9798387096774194	dict/vocab.json
schulen	SUlen	SUlen?	VERB.Inf	1.0	dict/vocab.json
schulen	SUlen	SUlen?	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
schallt	Salt	Salen	VERB.1.Sg.Ind.Prt.wk	0.5560538116591929	dict/vocab.json
schallt	Salt	Salen	VERB.2.Pl.Imp	0.6636771300448431	dict/vocab.json
schallt	Salt	Salen	VERB.3.Sg.Ind.Prs	1.0	dict/vocab.json
schallt	Salt	Salen	VERB.3.Sg.Ind.Prt.wk	0.5515695067264574	dict/vocab.json
schallt	Salt	Salen	VERB.PPast.wk	0.5560538116591929	dict/vocab.json
scharp	Sarp	Sarp	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
scharp	Sarp	Sarp	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
scharp	Sarp	Sarp	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
scharp	Sarp	Sarp	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
scharp	Sarp	Sarp	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
scharp	Sarp	Sarp	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
scharp	Sarp	Sarp	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
scharp	Sarp	Sarp	ADV	0.6965174129353234	dict/vocab.json
schellen	Selen	Selen	VERB.Inf	1.0	dict/vocab.json
schellen	Selen	Selen	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
schicken	Siken	Siken	VERB.Inf	1.0	dict/vocab.json
schicken	Siken	Siken	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
Schinner	Siner	Siner	NOUN.Masc.Acc	0.822429906542056	dict/vocab.json
