-37	-37	-37	NUM
0	0	0	NUM
94	94	94	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
95	95	95	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
96	96	96	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
97	97	97	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
98	98	98	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
99	99	99	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
100	100	100	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
101	101	101	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
102	102	102	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
103	103	103	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
104	104	104	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
105	105	105	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
106	106	106	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
107	107	107	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
108	108	108	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
109	109	109	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
110	110	110	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
111	111	111	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
114	114	114	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
115	115	115	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
116	116	116	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
117	117	117	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
118	118	118	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
119	119	119	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
121	121	121	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
122	122	122	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
123	123	123	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
124	124	124	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
125	125	125	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
127	127	127	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
128	128	128	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
129	129	129	NUM	full_forms/bornemann-1810-gedichte.full.curated.tsv
134	134	134	NUM
135	135	135	NUM
137	137	137	NUM
138	138	138	NUM
139	139	139	NUM
140	140	140	NUM
141	141	141	NUM
142	142	142	NUM
143	143	143	NUM
144	144	144	NUM
145	145	145	NUM
146	146	146	NUM
147	147	147	NUM
150	150	150	NUM
151	151	151	NUM
152	152	152	NUM
153	153	153	NUM
154	154	154	NUM
155	155	155	NUM
156	156	156	NUM
157	157	157	NUM
158	158	158	NUM
159	159	159	NUM
160	160	160	NUM
161	161	161	NUM
162	162	162	NUM
163	163	163	NUM
166	166	166	NUM
167	167	167	NUM
168	168	168	NUM
1112	1112	1112	NUM
1813	1813	1813	NUM
1814	1814	1814	NUM
