!	!	_	PUNCT
"	"	''	PUNCT
&	&	&	CCONJ
&	&	&	SYM
(	(	(	PUNCT
)	)	)	PUNCT
*	*	*	SYM
,	,	,	PUNCT
afburrt	af'burt	af+buren	VERB.3.Sg.Ind.Prs
affaten	a'få'ten	af+fåten	VERB.Inf	1	dict/vocab.json	full_forms/doerr-1884-goederschlaechter.from_dict.tsv
affaten	a'få'ten	af+fåten	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/doerr-1884-goederschlaechter.from_dict.tsv
Affgrundt	af'grunt	af/ADP+grund	NOUN.Masc.Dat.Sg
afgeben	af'gE'ben	af+gÄven	VERB.PPast.st
afgepuhlt	af'ge'pUlt	af+pUlen/VERB.PPast.wk.hd	ADV
afknappst	af'knapst	af+knapen	VERB.PPast.wk
afknöpt	af'knÖpt	af+knÖpen?	VERB.PPast.wk	1	dict/vocab.json	full_forms/doerr-1884-goederschlaechter.from_dict.tsv
afleep	af'lEp	af+lOpen	VERB.3.Sg.Ind.Prt.st
aflopen	af'lO'pen	af+lOpen	VERB.PPast.st
afmakt	af'makt	af+måken	VERB.PPast.wk	1	dict/vocab.json	full_forms/doerr-1884-goederschlaechter.from_dict.tsv
afmalen	af'må'len	af+målen	VERB.Inf	1	dict/vocab.json	full_forms/doerr-1884-goederschlaechter.from_dict.tsv
afmalen	af'må'len	af+målen	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/doerr-1884-goederschlaechter.from_dict.tsv
afmäten	af'mÄ'ten	af+mÄten	VERB.Inf
afnahmen	af'nå'men	af+nÄmen	VERB.PPast.st
afnehmen	af'nE'men	af+nEmen	VERB.Inf
afpuhlten	af'pUl'ten	af+pUlen/VERB.PPast.wk	ADJ.Pos.Pl.Nom.Def
afreten	af'rE'ten	af+rIten	VERB.PPast.st
afropen	af'rO'pen	af+rOpen	VERB.PPast.st
Afscheidspuß	af'Seids'pus	af+Seid/NOUN.Fem-s+pus	NOUN.Masc.Acc.Sg
afschickt	af'Sikt	af+Siken	VERB.PPast.wk
afschlaten	af'Slå'ten	af+SlUten	VERB.PPast.st
afsehen	af'sE'hen	af+sEen	VERB.Inf
afstreden	af'strE'den	af+strIden	VERB.PPast.st
aftoknöpen	af'tO'knÖ'pen	af+knÖpen	VERB.Inf_to
aftomaken	af'tO'må'ken	af+måken	VERB.Inf_to	1	dict/vocab.json	full_forms/doerr-1884-goederschlaechter.from_dict.tsv
aftonehmen	af'tO'nE'men	af+nÄmen	VERB.Inf_to	1	dict/vocab.json	full_forms/doerr-1884-goederschlaechter.from_dict.tsv
afurtelt	af'ur'tElt	af+urtEl/NOUN.Neut-en	VERB.PPast.wk
ahn	ån	ån	ADP
Ahn'	ån	ån	ADP
ähn'	ån	ån	ADP.ocr
Ahren	å'ren	år	NOUN.Fem.Pl_en.Dat
Ahren	å'ren	år	NOUN.Fem.Pl_en.Nom
Akkord	a'kord	akord	NOUN.Masc.Dat.Sg
All	al	al	DET.Tot.Neut.Dat.Sg
All	al	al	ADV
All	al	al	DET.Tot.Pl.Acc
All	al	al	DET.Tot.Pl.Nom
All	al	al	DET.Tot.Fem.Acc.Sg
All	al	al	DET.Tot.Pl.Nom
All	al	al	DET.Tot.Neut.Acc.Sg
All	al	al	ADJ.Pos.Pred
All	al	al	DET.Tot.Pl.Acc
All	al	al	DET.Tot.Pl.Dat
All	al	al	DET.Tot.Fem.Acc.Sg
All	al	al	DET.Tot.Pl.Acc
All	al	al	DET.Tot.Pl.Acc
Alldagsbückschen	al'dags'bük'Sen	al+dag/NOUN.Masc-s+bükSen	NOUN.Pl_en.Acc
Alle	a'le	al	DET.Tot.Pl.Acc
Alle	a'le	al	DET.Tot.Pl.Nom
Alle	a'le	al	DET.Tot.Fem.Dat.Sg
Alle	a'le	al	DET.Tot.Fem.Acc.Sg
Alle	a'le	al	DET.Tot.Pl.Dat
Alle	a'le	al	PRON.Tot.Nom.Pl
Alle	a'le	al	ADV.hd
Alle	a'le	al	ADV.hd
allemal	a'le'mål	al/ADV-e-mål	ADV
allen	a'len	al	DET.Tot.Neut.Dat.Sg
allen	a'len	al	PRON.Tot.Pl.Dat
